"","gu","dong","total","perc_inv","result"
"32","광진구","광장동",1018,19.6361185983828,19989.5687331536
"33","구로구","오류2동",1561,12.2261904761905,19085.0833333333
"34","서초구","잠원동",845,21.9136029411765,18516.9944852941
"35","도봉구","쌍문4동",445,41.4971098265896,18466.2138728324
"36","중랑구","면목본동",625,29.0675675675676,18167.2297297297
"37","용산구","이촌1동",940,19.2926829268293,18135.1219512195
"38","송파구","가락제2동",859,21.0407643312102,18074.0165605096
"39","송파구","오금동",855,21.0407643312102,17989.8535031847
"40","강서구","방화3동",531,33.7863436123348,17940.5484581498
"41","서초구","반포1동",815,21.9136029411765,17859.5863970588
"42","강동구","고덕1동",1126,15.7795031055901,17767.7204968944
"43","중랑구","망우본동",611,29.0675675675676,17760.2837837838
"44","도봉구","쌍문1동",427,41.4971098265896,17719.2658959538
"45","중랑구","상봉1동",609,29.0675675675676,17702.1486486486
"46","강북구","인수동",606,29.1990521327014,17694.6255924171
"47","강서구","화곡6동",518,33.7863436123348,17501.3259911894
"48","서초구","반포2동",795,21.9136029411765,17421.3143382353
"49","노원구","공릉2동",1050,16.4342465753425,17255.9589041096
"50","광진구","자양3동",862,19.6361185983828,16926.3342318059
"51","강서구","화곡4동",497,33.7863436123348,16791.8127753304
"52","강동구","길동",1055,15.7795031055901,16647.3757763975
"53","강북구","삼양동",570,29.1990521327014,16643.4597156398
"54","강서구","등촌2동",489,33.7863436123348,16521.5220264317
"55","서대문구","남가좌1동",799,20.6739130434783,16518.4565217391
"56","노원구","상계6.7동",1000,16.4342465753425,16434.2465753425
"57","강서구","화곡2동",484,33.7863436123348,16352.59030837
"58","영등포구","문래동",1129,14.438566552901,16301.1416382253
"59","도봉구","방학2동",387,41.4971098265896,16059.3815028902
"60","도봉구","쌍문2동",386,41.4971098265896,16017.8843930636
"61","강서구","등촌1동",473,33.7863436123348,15980.9405286344
"62","동작구","대방동",805,19.6155555555556,15790.5222222222
"63","강서구","화곡3동",458,33.7863436123348,15474.1453744493
"64","마포구","상암동",974,15.875,15462.25
"65","은평구","역촌동",1157,13.2664188351921,15349.2465923172
"66","양천구","신정3동",1332,11.4903433476395,15305.1373390558
"67","노원구","상계8동",931,16.4342465753425,15300.2835616438
"68","동작구","상도2동",779,19.6155555555556,15280.5177777778
"69","노원구","월계3동",924,16.4342465753425,15185.2438356164
"70","구로구","신도림동",1228,12.2261904761905,15013.7619047619
"71","중랑구","신내2동",516,29.0675675675676,14998.8648648649
"72","중랑구","면목2동",515,29.0675675675676,14969.7972972973
"73","강서구","방화2동",443,33.7863436123348,14967.3502202643
"74","마포구","성산2동",926,15.875,14700.25
"75","강동구","강일동",925,15.7795031055901,14596.0403726708
"76","송파구","풍납2동",693,21.0407643312102,14581.2496815287
"77","도봉구","도봉1동",351,41.4971098265896,14565.4855491329
"78","노원구","상계1동",884,16.4342465753425,14527.8739726027
"79","동작구","노량진1동",739,19.6155555555556,14495.8955555556
"80","서대문구","북가좌2동",697,20.6739130434783,14409.7173913043
"81","영등포구","여의동",997,14.438566552901,14395.2508532423
"82","강남구","역삼2동",919,15.484237074401,14230.0138713745
"83","마포구","아현동",896,15.875,14224
"84","강북구","송중동",482,29.1990521327014,14073.9431279621
"85","강북구","송천동",481,29.1990521327014,14044.7440758294
"86","동작구","흑석동",713,19.6155555555556,13985.8911111111
"87","은평구","불광1동",1043,13.2664188351921,13836.8748451053
"88","중랑구","중화1동",476,29.0675675675676,13836.1621621622
"89","강남구","도곡2동",892,15.484237074401,13811.9394703657
"90","노원구","공릉1동",840,16.4342465753425,13804.7671232877
"91","송파구","석촌동",650,21.0407643312102,13676.4968152866
"92","도봉구","쌍문3동",328,41.4971098265896,13611.0520231214
"93","노원구","중계2.3동",826,16.4342465753425,13574.6876712329
"94","동작구","사당2동",689,19.6155555555556,13515.1177777778
"95","광진구","구의3동",683,19.6361185983828,13411.4690026954
"96","광진구","자양2동",681,19.6361185983828,13372.1967654987
"97","서초구","방배4동",605,21.9136029411765,13257.7297794118
"98","성북구","길음1동",1427,9.26223453370268,13217.2086795937
"99","금천구","독산1동",981,13.4630681818182,13207.2698863636
"100","강동구","암사1동",836,15.7795031055901,13191.6645962733
"101","영등포구","당산2동",905,14.438566552901,13066.9027303754
"102","마포구","공덕동",816,15.875,12954
"103","성동구","옥수동",923,13.939736346516,12866.3766478343
"104","송파구","삼전동",610,21.0407643312102,12834.8662420382
"105","강북구","수유2동",439,29.1990521327014,12818.3838862559
"106","도봉구","창3동",306,41.4971098265896,12698.1156069364
"107","서대문구","연희동",614,20.6739130434783,12693.7826086957
"108","서초구","서초3동",579,21.9136029411765,12687.9761029412
"109","중랑구","중화2동",435,29.0675675675676,12644.3918918919
"110","동작구","사당3동",644,19.6155555555556,12632.4177777778
"111","중랑구","면목3.8동",434,29.0675675675676,12615.3243243243
"112","서초구","양재2동",567,21.9136029411765,12425.0128676471
